Country,Clicks,Impressions,CTR,Position
Argentina,2,7,28.57%,4.86
United States,0,7,0%,2.86
Brazil,0,2,0%,1
Spain,0,1,0%,2
Canada,0,1,0%,9
Peru,0,1,0%,70
